tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,damage
31,imitate,45.978,-0.168982,62.863,-0.113300,0.600000,0.000000,-0.268359,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.110937,-0.353125,-0.084766,0.161328,0.626563,6,40.000,44.148,240.000,240.000,172.000,0.000000,4.446750,-0.139130,2.500
32,imitate,53.244,-0.123419,79.349,-0.144406,0.000000,0.324389,-0.237773,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.096094,-0.314063,-0.076289,0.140820,0.647917,6,40.000,45.347,240.000,240.000,255.000,0.000000,4.543489,-0.063918,2.500
33,imitate,46.413,-0.054667,58.278,-0.105433,0.600000,0.000000,-0.115078,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.175781,-0.060703,-0.051953,0.776563,6,40.000,48.978,240.000,240.000,172.400,0.000000,4.679374,-0.005299,2.500
34,imitate,53.578,-0.019133,24.917,-0.046199,0.000000,0.357822,-0.030000,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.045312,-0.015312,0.065625,0.805208,6,40.000,49.434,240.000,240.000,255.000,0.000000,5.090645,0.001886,2.500
35,imitate,46.032,0.124633,10.691,-0.019626,0.600000,0.000000,0.008594,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.014062,0.005469,0.027344,0.858333,6,40.000,49.910,240.000,240.000,171.000,0.000000,5.460178,0.190223,2.500
36,imitate,53.109,0.043621,-70.009,0.127010,0.000000,0.310904,0.129961,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.200781,0.070820,0.094336,0.782552,6,40.000,47.853,240.000,240.000,255.000,0.000000,4.502800,-0.043254,2.500
37,imitate,45.884,0.080126,-21.178,0.038503,0.600000,0.000000,0.120312,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.185937,0.065625,0.103906,0.801042,6,40.000,47.726,240.000,240.000,168.000,0.000000,4.739867,0.072447,2.500
38,imitate,51.510,0.174728,-40.778,0.073674,0.000000,0.000000,0.172109,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,0.265625,0.093516,0.049219,0.734115,6,40.000,48.444,240.000,240.000,255.000,0.000000,2.722016,0.174315,2.500
39,imitate,49.080,0.166255,-94.482,0.173698,0.000000,0.000000,0.150313,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.020313,0.220312,0.070000,0.027344,0.743490,6,40.000,49.167,240.000,240.000,255.000,0.000000,1.690557,0.125178,2.500
40,imitate,44.979,0.058189,-90.003,0.165170,0.600000,0.000000,-0.051992,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.042969,-0.103125,-0.051133,0.463477,0.565104,6,34.694,34.694,240.000,240.000,255.000,0.000000,3.744650,-0.022901,2.500
41,imitate,50.360,-0.075651,-25.516,0.043397,0.000000,1.000000,-0.435195,0.500,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.528125,-0.385156,0.050039,-0.530469,0.454167,3,27.377,27.377,240.000,240.000,255.000,0.000000,5.290067,-0.035346,2.500
42,imitate,5.287,-0.026478,42.851,-0.077778,0.600000,0.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,17.500,35.128,240.000,240.000,255.000,0.000000,0.397726,0.002407,2.500
43,imitate,48.018,0.000000,25.166,-0.041964,0.000000,1.000000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,17.500,35.128,240.000,240.000,255.000,0.000000,1.024059,-0.084030,2.500
