tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,damage
49,sensor,73.851,0.000000,-0.060,0.000427,0.000000,1.000000,-0.061641,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.164844,-0.183594,-0.348438,-0.207706,0.741927,6,18.000,18.000,20.444,240.000,14.000,0.109069,0.388767,0.000
50,sensor,74.010,0.000000,-0.717,0.000976,0.000000,1.000000,-0.066523,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.152344,-0.184375,-0.336719,-0.285173,0.747396,6,18.000,18.000,21.852,240.000,15.000,0.096968,0.067018,0.000
51,sensor,73.912,0.000000,0.253,0.000394,0.000000,1.000000,-0.069297,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.163281,-0.194531,-0.357812,-1.000000,0.775521,6,18.000,18.000,20.444,240.000,14.000,0.103110,0.173565,0.000
52,sensor,73.789,0.000000,-0.322,0.000258,0.000000,1.000000,-0.063320,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.158594,-0.182813,-0.341406,-1.000000,0.782292,6,18.000,18.000,19.037,240.000,13.000,0.120771,0.048033,0.000
53,sensor,73.897,0.000000,-0.034,0.000930,0.000000,1.000000,-0.063594,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.157812,-0.182813,-0.340625,-1.000000,0.782552,6,18.000,18.000,20.444,240.000,14.000,0.108643,0.071038,0.000
54,sensor,73.650,0.000000,0.010,-0.000318,0.000000,1.000000,-0.063594,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.157812,-0.182813,-0.340625,-1.000000,0.782552,6,18.000,18.000,20.444,240.000,14.000,0.107116,0.000897,0.000
55,sensor,73.705,0.000000,-0.051,0.000095,0.000000,1.000000,-0.047813,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.210156,-0.186719,-0.396875,-1.000000,0.760417,6,14.815,18.000,14.815,240.000,10.000,0.171290,1.580252,0.000
56,sensor,72.908,0.000000,0.052,-0.000959,0.000000,1.000000,0.102891,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.296875,-0.001563,-0.298438,-1.000000,0.792448,6,14.815,18.000,14.815,240.000,10.000,0.217778,0.463466,0.000
57,sensor,72.975,0.000000,-0.521,0.000827,0.000000,1.000000,0.209687,0.833,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.150781,0.241406,0.090625,-1.000000,0.405312,5,17.630,18.000,17.630,240.000,12.000,0.149518,0.200843,0.000
58,sensor,72.969,0.000000,0.227,-0.000192,0.000000,1.000000,0.049844,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.145312,-0.001563,-0.146875,-0.889441,0.842969,6,18.000,18.000,20.444,240.000,14.000,0.107426,0.218381,0.000
59,sensor,73.033,0.000000,-0.120,-0.000056,0.000000,1.000000,0.134883,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.144531,0.129688,-0.014844,-0.451338,0.802604,6,18.000,18.000,20.444,240.000,14.000,0.102833,0.242208,0.000
60,sensor,73.014,0.000000,0.279,-0.000717,0.000000,1.000000,0.121641,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.295312,0.028125,-0.267187,-0.750819,0.783333,6,14.815,18.000,14.815,240.000,10.000,0.157559,0.737104,0.000
61,sensor,72.872,0.000000,-0.095,0.000139,0.000000,1.000000,0.111758,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.296094,0.012500,-0.283594,-0.890312,0.788802,6,17.630,18.000,17.630,240.000,12.000,0.125317,0.749680,0.000
62,sensor,72.943,0.000000,-0.120,0.000127,0.000000,1.000000,0.119844,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.294531,0.025781,-0.268750,-0.717077,0.786198,6,13.407,18.000,13.407,240.000,9.000,0.181024,0.041131,0.000
63,sensor,72.959,0.000000,-0.052,-0.000028,0.000000,1.000000,0.167578,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.294531,0.099219,-0.195312,0.070536,0.760417,6,17.630,26.265,17.630,240.000,12.000,0.242105,0.018165,0.000
64,sensor,73.006,0.000000,0.122,0.000157,0.000000,1.000000,0.120078,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.293750,0.026562,-0.267188,-0.749964,0.784896,6,17.630,18.000,17.630,240.000,12.000,0.134335,0.065753,0.000
65,sensor,72.964,0.000000,-0.223,0.000419,0.000000,1.000000,0.127695,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.293750,0.038281,-0.255469,-0.619050,0.780990,6,18.000,18.000,19.037,240.000,13.000,0.110423,0.215314,0.000
66,sensor,73.163,0.000000,0.293,-0.000337,0.000000,1.000000,0.193672,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.292188,0.140625,-0.151563,-0.439205,0.747656,6,18.000,18.000,20.444,240.000,14.000,0.100906,0.285487,0.000
67,sensor,73.123,0.000000,-0.189,0.000305,0.000000,1.000000,0.126445,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.294531,0.035938,-0.258594,-0.636399,0.781510,6,16.222,18.000,16.222,240.000,11.000,0.182198,0.072026,0.000
68,sensor,73.057,0.000000,-0.038,0.000107,0.000000,1.000000,0.149023,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.293750,0.071094,-0.222656,-0.764901,0.772396,6,18.000,18.000,20.444,240.000,14.000,0.107557,0.007070,0.000
69,sensor,72.981,0.000000,-0.168,0.000556,0.000000,1.000000,0.102070,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.294531,-0.001563,-0.296094,-1.000000,0.794010,6,18.000,18.000,19.037,240.000,13.000,0.114119,0.082547,0.000
70,sensor,72.986,0.000000,-0.188,0.000018,0.000000,1.000000,0.085039,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.293750,-0.027344,-0.321094,-1.000000,0.786719,6,18.000,18.000,19.037,240.000,13.000,0.109547,0.006277,0.000
71,sensor,73.012,0.000000,-0.395,0.000706,0.000000,1.000000,0.086563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.293750,-0.025000,-0.318750,-1.000000,0.788021,6,17.630,18.000,17.630,240.000,12.000,0.190412,0.002275,0.000
72,sensor,73.107,0.000000,-0.185,0.000002,0.000000,1.000000,0.118516,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.292188,0.025000,-0.267188,-1.000000,0.781510,6,18.000,18.000,21.852,240.000,15.000,0.099454,0.125558,0.000
73,sensor,73.036,0.000000,0.002,0.000236,0.000000,1.000000,0.046250,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.296094,-0.088281,-0.384375,-1.000000,0.765625,6,14.815,18.000,14.815,240.000,10.000,0.152107,0.117085,0.000
74,sensor,73.128,0.000000,-0.073,0.000038,0.000000,1.000000,0.102070,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.294531,-0.001563,-0.296094,-1.000000,0.795312,6,18.000,18.000,19.037,240.000,13.000,0.110442,0.026089,0.000
75,sensor,73.062,0.000000,0.062,-0.000407,0.000000,1.000000,0.102070,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.294531,-0.001563,-0.296094,-1.000000,0.795312,6,18.000,18.000,19.037,240.000,13.000,0.110307,0.005407,0.000
76,sensor,73.139,0.000000,0.175,-0.000376,0.000000,1.000000,0.102344,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,0.295312,-0.001563,-0.296875,-1.000000,0.795312,6,18.000,18.000,20.444,240.000,14.000,0.117751,0.290999,0.000
