tick,stage,speed_kph,steering_cmd_norm,steering_wheel_deg,steering_input,throttle_cmd,brake_cmd,lane_offset,lane_confidence,route_heading_error_deg,route_lookahead_m,route_speed_target_kph,route_curve_speed_cap_kph,route_preview_curvature,route_preview_distance_m,route_progress_index,sensor_near_offset,sensor_far_offset,sensor_heading_hint,sensor_curvature_hint,sensor_width_norm,sensor_sample_count,sensor_speed_target_kph,sensor_curve_speed_cap_kph,sensor_obstacle_speed_cap_kph,sensor_lateral_accel_cap_kph,sensor_depth_min_m,sensor_close_fraction,sensor_lateral_accel_mps2,imitation_pred_norm,damage
31,imitate,28.593,-0.016087,8.598,-0.015632,0.600000,0.000000,-0.072656,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.204688,-0.001563,0.071094,-0.355469,0.932292,6,38.791,38.791,240.000,240.000,112.000,0.000000,5.311728,0.000000,2.282
32,imitate,28.627,0.000000,8.848,-0.016087,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.863021,6,40.000,50.000,240.000,44.713,111.000,0.000000,6.127790,0.000000,2.282
33,imitate,29.739,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,240.000,113.000,0.000000,5.281998,0.000000,2.282
34,imitate,32.103,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,240.000,113.000,0.000000,5.416887,0.000000,2.282
35,imitate,32.034,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,45.773,113.000,0.000000,6.054829,0.000000,2.282
36,imitate,31.993,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.863542,6,40.000,50.000,240.000,240.000,113.000,0.000000,5.399458,0.000000,2.282
37,imitate,32.565,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864583,6,40.000,50.000,240.000,240.000,112.000,0.000000,5.190921,0.000000,2.282
38,imitate,32.947,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,39.822,50.000,240.000,39.822,112.000,0.000000,6.423003,0.000000,2.282
39,imitate,34.701,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,49.681,112.000,0.000000,5.646256,0.000000,2.282
40,imitate,35.637,0.000000,0.000,0.000000,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.863542,6,35.901,50.000,240.000,35.901,105.000,0.000000,6.644156,0.000000,2.282
41,imitate,35.181,0.000000,0.213,-0.000850,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864583,6,40.000,50.000,240.000,42.869,100.000,0.000000,6.244610,0.000000,2.282
42,imitate,35.367,0.000000,2.565,-0.005135,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864583,6,40.000,50.000,240.000,44.027,100.000,0.000000,6.172494,0.000000,2.282
43,imitate,35.950,0.000000,4.933,-0.009444,0.600000,0.000000,-0.001836,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.002344,-0.001563,0.000273,-0.001367,0.863802,6,40.000,50.000,240.000,240.000,136.700,0.000000,5.271613,0.000000,2.282
44,imitate,36.698,0.000000,7.461,-0.014099,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.863542,6,40.000,50.000,240.000,240.000,255.000,0.000000,5.438035,0.000000,2.282
45,imitate,37.583,0.000000,10.303,-0.019231,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.863542,6,40.000,50.000,240.000,49.458,255.000,0.000000,5.691105,0.000000,2.282
46,imitate,38.557,-0.010616,13.402,-0.025064,0.600000,0.000000,-0.072656,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.204688,-0.001563,0.071094,-0.355469,0.932292,6,38.791,38.791,240.000,240.000,255.000,0.000000,4.628595,0.000000,2.282
47,imitate,38.440,0.000000,22.695,-0.042044,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.863542,6,40.000,50.000,240.000,240.000,255.000,0.000000,5.242889,0.000000,2.282
48,imitate,39.205,0.000000,20.655,-0.038324,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,240.000,255.000,0.000000,5.162046,0.000000,2.282
49,imitate,40.016,0.000000,24.595,-0.045341,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,240.000,255.000,0.000000,4.918588,0.000000,2.282
50,imitate,40.692,0.000000,28.682,-0.052937,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,240.000,255.000,0.000000,4.116379,0.000000,2.282
51,imitate,41.151,0.000000,32.838,-0.060484,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,240.000,255.000,0.000000,4.139421,0.000000,2.282
52,imitate,41.592,0.000000,37.176,-0.068208,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,240.000,255.000,0.000000,4.240417,0.000000,2.282
53,imitate,42.145,0.000000,41.269,-0.075885,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,240.000,255.000,0.000000,4.910713,0.000000,2.282
54,imitate,42.828,0.000000,45.606,-0.083740,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,240.000,255.000,0.000000,4.113245,0.000000,2.282
55,imitate,43.263,0.000000,49.928,-0.091495,0.600000,0.000000,-0.001563,1.000,0.000,0.000,0.000,0.000,0.000000,0.000,0,-0.001563,-0.001563,0.000000,0.000000,0.864062,6,40.000,50.000,240.000,240.000,255.000,0.000000,3.961414,0.000000,2.282
